final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
1	3	11	9	219	2	5	7	0	97
2	3	15	11	282	1	6	7	1	52
3	3	16	13	202	1	8	10	1	99
4	3	9	5	468	1	5	7	1	54
5	3	18	7	291	1	8	20	1	69
6	3	14	10	752	1	7	8	1	73
7	3	16	12	272	2	11	17	1	118
8	3	14	11	226	1	11	17	1	144
9	3	27	7	242	2	7	27	1	74
10	3	51	11	223	1	5	47	53	83
11	3	14	6	209	2	5	27	1	148
12	3	18	11	271	1	10	16	1	105
13	3	26	24	268	1	9	10	1	136
14	3	26	17	281	1	6	9	5	52
15	3	15	5	354	1	4	11	1	70
16	3	20	12	221	1	5	14	1	76
17	3	7	5	306	3	6	8	0	119
18	3	11	5	221	1	5	5	1	142
19	3	17	5	375	2	5	12	1	52
20	3	13	9	307	4	12	18	1	145
21	3	11	5	305	2	8	23	1	115
22	3	16	9	222	1	10	22	1	149
23	3	9	7	261	2	5	7	1	96
24	3	23	5	251	2	7	27	5	113
25	3	11	8	231	2	5	5	1	56
26	3	16	13	382	2	9	11	1	99
27	3	8	6	204	1	6	5	1	61
28	3	26	12	234	1	13	35	1	142
29	3	15	13	438	1	8	10	1	142
30	3	29	12	377	1	7	19	1	83
31	3	12	7	434	3	3	4	1	51
32	3	10	5	535	1	7	10	1	95
33	3	13	8	213	1	4	7	1	69
34	3	11	9	245	1	8	9	1	117
35	3	15	10	233	2	12	18	1	134
36	3	13	7	506	3	6	9	1	82
37	3	10	7	339	1	10	13	1	147
38	3	19	6	232	1	7	31	1	114
39	3	40	9	249	2	7	53	19	138
40	3	13	12	265	1	7	8	0	54
41	3	7	6	212	4	6	6	0	67
42	3	9	5	244	1	4	5	1	54
43	3	10	8	272	1	8	11	1	142
44	3	29	19	673	3	7	21	1	103
45	3	9	5	320	1	8	11	1	90
46	3	37	8	256	2	6	23	38	89
47	3	39	13	297	1	7	51	1	140
48	3	31	7	279	1	8	42	11	145
49	3	22	10	264	1	6	10	1	61
50	3	8	6	385	1	6	5	1	68
51	3	8	6	222	1	9	13	1	145
52	3	28	13	296	1	4	21	5	82
53	3	11	9	348	1	5	6	1	119
54	3	11	7	533	1	6	8	1	85
55	3	19	12	294	1	9	15	1	96
56	3	15	6	243	3	5	8	8	59
57	3	9	5	251	1	5	7	1	55
58	3	24	23	263	1	3	3	0	62
59	3	10	9	217	1	5	5	0	130
60	3	20	13	308	1	8	13	1	75
61	3	21	7	778	1	6	10	9	104
62	3	20	11	517	1	5	8	1	55
63	3	12	11	225	1	6	5	0	89
64	3	9	8	297	1	6	8	0	144
65	3	12	5	279	1	8	23	1	144
66	3	7	6	643	2	11	13	0	147
67	3	10	8	281	1	10	10	1	87
68	3	38	17	226	1	10	37	87	138
69	3	326	9	491	1	6	63	860	63
70	3	15	10	323	1	6	9	1	81
71	3	9	5	205	1	5	7	1	136
72	3	30	10	253	1	5	39	26	130
73	3	9	7	254	1	4	4	1	114
74	3	22	12	309	1	5	11	1	75
75	3	25	20	484	2	5	5	1	114
76	3	18	15	333	2	6	7	1	66
77	3	11	9	459	1	8	8	1	93
78	3	11	9	219	1	7	9	1	111
79	3	12	7	265	3	8	12	1	122
80	3	18	13	251	3	11	18	1	98
81	3	11	10	336	1	10	10	0	87
82	3	13	6	334	1	12	23	1	140
83	3	18	5	309	1	7	30	4	124
84	3	19	18	539	1	4	4	0	61
85	3	10	7	240	1	7	8	1	96
86	3	10	5	416	3	8	14	1	140
87	3	19	15	815	1	8	13	1	79
88	3	18	7	373	1	3	4	1	58
89	3	22	5	231	1	5	23	1	109
90	3	17	9	224	1	10	18	1	89
91	3	6	5	353	1	7	6	0	99
92	3	16	6	453	1	8	19	1	118
93	3	14	5	241	1	5	10	1	86
94	3	8	6	247	1	6	5	1	107
95	3	13	12	242	1	8	8	0	76
96	3	16	12	223	2	9	12	1	148
97	3	14	11	371	1	11	12	1	80
98	3	37	14	1028	1	9	8	1	63
99	3	16	12	235	2	9	11	1	106
100	3	18	6	364	1	5	11	1	97
101	3	13	6	420	1	6	18	1	123
102	3	13	10	265	1	7	13	1	104
103	3	14	11	203	1	7	11	1	145
104	3	12	10	361	3	10	14	1	90
105	3	13	12	352	1	8	9	0	123
106	3	6	5	201	1	7	8	0	97
107	3	10	7	240	2	9	12	1	144
108	3	9	7	307	1	6	7	1	122
109	3	14	10	217	1	8	14	1	132
110	3	11	7	225	1	6	8	1	51
111	3	12	7	246	1	4	9	1	51
112	3	24	5	232	1	4	26	3	139
