final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
1	0	1000	0	0	0	0	65	4354	65
2	3	843	0	0	0	0	113	3774	113
3	3	613	0	0	0	0	72	359	72
4	0	1000	0	0	0	0	67	1639	67
5	3	560	0	0	0	0	92	1616	92
6	3	14	0	0	0	0	17	22	108
7	3	554	0	0	0	0	119	2842	119
8	3	607	0	0	0	0	137	4076	137
9	3	626	0	0	0	0	115	406	115
10	0	1000	0	0	0	0	104	2848	104
11	0	1000	0	0	0	0	55	1004	55
12	3	667	0	0	0	0	81	1052	81
13	0	1000	0	0	0	0	118	3915	118
14	3	615	0	0	0	0	142	2735	142
15	0	1000	0	0	0	0	111	1668	111
16	3	501	0	0	0	0	123	1875	123
17	3	928	0	0	0	0	132	3810	132
18	0	1000	0	0	0	0	88	3172	88
19	0	1000	0	0	0	0	79	2889	79
20	0	1000	0	0	0	0	119	5255	119
21	0	1000	0	0	0	0	112	1810	112
22	3	478	0	0	0	0	150	2837	150
23	3	484	0	0	0	0	92	2193	92
24	0	1000	0	0	0	0	64	471	64
25	0	1000	0	0	0	0	115	1544	115
26	0	1000	0	0	0	0	94	1163	94
27	0	1000	0	0	0	0	73	1764	73
28	0	1000	0	0	0	0	104	1063	104
29	3	321	0	0	0	0	139	1677	139
30	0	1000	0	0	0	0	62	3613	62
31	3	304	0	0	0	0	145	1441	145
32	3	819	0	0	0	0	129	3075	129
33	3	507	0	0	0	0	127	1723	127
34	3	39	0	0	0	0	67	40	146
35	3	604	0	0	0	0	89	1915	89
36	0	1000	0	0	0	0	73	2774	73
37	3	673	0	0	0	0	128	1857	128
38	0	1000	0	0	0	0	141	3046	141
39	3	993	0	0	0	0	132	2296	132
40	3	455	0	0	0	0	93	628	93
41	3	450	0	0	0	0	112	2322	112
42	0	1000	0	0	0	0	81	1012	82
43	0	1000	0	0	0	0	67	493	67
44	3	395	0	0	0	0	78	1375	78
45	3	776	0	0	0	0	93	560	93
46	3	363	0	0	0	0	146	3114	146
47	3	338	0	0	0	0	146	2146	146
48	0	1000	0	0	0	0	115	3342	115
49	0	1000	0	0	0	0	73	2489	73
50	3	901	0	0	0	0	148	3971	148
51	3	428	0	0	0	0	145	3528	145
52	3	687	0	0	0	0	111	2170	111
53	0	1000	0	0	0	0	89	2111	89
54	3	341	0	0	0	0	66	1072	66
55	3	606	0	0	0	0	123	1700	123
56	3	772	0	0	0	0	109	1928	109
57	0	1000	0	0	0	0	123	1469	123
58	3	754	0	0	0	0	111	4778	111
59	3	421	0	0	0	0	133	1978	133
60	0	1000	0	0	0	0	68	908	68
61	0	1000	0	0	0	0	51	2139	51
62	3	827	0	0	0	0	109	1215	109
63	3	439	0	0	0	0	88	842	88
64	0	1000	0	0	0	0	111	3681	111
65	0	1000	0	0	0	0	50	885	51
66	0	1000	0	0	0	0	91	916	91
67	0	1000	0	0	0	0	76	1447	76
68	0	1000	0	0	0	0	135	2676	135
69	0	1000	0	0	0	0	51	1803	51
70	0	1000	0	0	0	0	108	4208	108
71	3	912	0	0	0	0	128	3438	128
72	3	536	0	0	0	0	123	2815	123
73	0	1000	0	0	0	0	74	323	74
74	3	527	0	0	0	0	138	3182	138
75	3	354	0	0	0	0	149	2706	149
76	0	1000	0	0	0	0	83	1441	83
77	3	908	0	0	0	0	91	1648	91
78	3	323	0	0	0	0	122	2209	122
79	3	47	0	0	0	0	88	37	110
80	0	1000	0	0	0	0	103	3334	103
81	3	220	0	0	0	0	116	423	116
82	0	1000	0	0	0	0	67	1425	67
83	3	301	0	0	0	0	93	782	93
84	3	508	0	0	0	0	149	2930	149
85	0	1000	0	0	0	0	98	2129	98
86	3	658	0	0	0	0	97	1857	97
87	0	1000	0	0	0	0	64	1276	64
88	0	1000	0	0	0	0	87	2439	87
89	3	970	0	0	0	0	126	2860	126
90	3	610	0	0	0	0	66	819	66
91	3	453	0	0	0	0	134	1756	134
92	3	462	0	0	0	0	149	1997	149
93	3	604	0	0	0	0	53	163	53
94	3	565	0	0	0	0	58	715	58
95	3	519	0	0	0	0	113	2415	113
96	3	345	0	0	0	0	82	1550	82
97	0	1000	0	0	0	0	77	2586	77
98	0	1000	0	0	0	0	118	982	118
99	3	780	0	0	0	0	145	3076	145
100	3	218	0	0	0	0	115	914	115
